file_name,task_clock,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed,user_time,sys_time
tod_reactor_callgrind_annotate.txt,,,,,,,,,,,
tod_reactor_perf_stat_out.txt,3150.72,104,0,29675,14447045013,11709529564,2464092622,47225095,2.262190677,3.084858000,0.065971000
tod_reactor_perf_stat_out1.txt,3151.10,168,2,30298,14491260008,11744849171,2473496875,47660597,2.266660781,3.088688000,0.062437000
tod_reactor_perf_stat_out2.txt,3195.54,106,3,29685,14678597405,11758885727,2476890800,47463091,2.307000472,3.135930000,0.059553000
tod_reactor_perf_stat_out3.txt,3142.80,114,0,29774,14443916771,11668366830,2457200241,47229927,2.264323025,3.083339000,0.059519000
tod_reactor_perf_stat_out4.txt,3185.45,136,3,29848,14616889024,11748872145,2473866110,47963497,2.299554655,3.107419000,0.078258000
tod_reactor_perf_stat_out5.txt,3155.34,99,0,30494,14484757836,11721903354,2466694845,47391723,2.266349403,3.092926000,0.062535000
tod_reactor_perf_stat_out6.txt,3166.13,113,0,29679,14552704388,11742420944,2472096157,47614676,2.277143677,3.098558000,0.067612000
tod_reactor_perf_stat_out7.txt,3173.93,130,2,30363,14576083883,11755489627,2474637969,47783208,2.285137953,3.104969000,0.068973000
tod_reactor_perf_stat_out8.txt,3151.34,172,2,29795,14482065181,11739850781,2473051605,47499521,2.268814765,3.085722000,0.065503000
tod_reactor_perf_stat_out9.txt,3172.84,126,0,29601,14582974879,11760053756,2477253163,47519447,2.284544469,3.105777000,0.066948000
